name,post_id
python,128
python,151
python,162
python,161
python,163
python,165
python,168
python,170
python,178
python,180
python,190
python,196
programacion,196
navidad,210
estadistica,210
republica,1
republica,2
republica,3
republica,4
republica,5
republica,6
republica,7
religion-y-filosofia,8
republica,9
republica,10
audio,11
cpp,11
flac,11
linux,11
portaudio,11
programacion,11
faqs,213
tutorial,11
vorbis,11
republica,12
republica,13
republica,14
republica,15
republica,16
republica,17
republica,18
republica,19
republica,20
republica,21
cpp,22
javascript,22
perl,22
php,22
programacion,22
python,22
rust,22
republica,23
republica,24
cegui,25
linux,25
ogre,25
paqueteria,25
programacion,25
programacion-de-videojuegos,25
ubuntu,25
bitbucket,26
cpp,26
lumtumo,26
mit,26
ogre,26
opensource,26
programacion,26
programacion-de-videojuegos,26
videojuego,26
bug,27
cataluna,27
complot,27
extensiones,27
firefox,27
mozilla,27
politica,27
republica,27
illumos,28
kvm,28
programacion,28
smartos,28
solaris,28
gamedev,29
grunt,29
javascript,29
nodejs,29
npm,29
programacion,29
programacion-de-videojuegos,29
haiku,30
programacion,30
sistemas-operativos,30
2014,31
2015,31
futuro,31
objetivos,31
postmortem,31
recapitulacion,31
republica,31
valores,31
clay-io,32
fgl,32
gamedev,32
gamejs,32
html5,32
kongregate,32
marketplace,32
npm,32
postmortem,32
programacion,32
programacion-de-videojuegos,32
typescript,32
2015,33
beapi,33
freecell,33
gci,33
haiku,33
haikuports,33
haikutodo,33
libuv,33
openscenegraph,33
opensource,33
programacion,33
superfreecell,33
todo,33
haiku,34
pkgman,34
programacion,34
rolling-release,34
firefox,35
gecko,35
html5,35
javascript,35
nodejs,35
programacion,35
dbus,36
javascript,36
linux,36
programacion,36
ubuntu,36
gamedev,37
gulp,37
javascript,37
nodejs,37
programacion,37
programacion-de-videojuegos,37
secta-sectarium,37
tycoon,37
typescript,37
documentacion,38
investigacion,38
religion,38
religion-y-filosofia,38
secta,38
teologia,38
videojuegos,38
haiku,39
haikudepot,39
paquete,39
paqueteria,39
pkgman,39
programacion,39
tutorial,39
gcc,40
haiku,40
haikudepot,40
haikuporter,40
haikuports,40
paqueteria,40
c,193
prolog,222
programacion,222
web,222
swi,222
python,223
tutorial,223
programacion,223
web,225
programacion,40
analiticas,41
estadistica,41
javascript,41
nodejs,41
openshift,41
programacion,41
analiticas,42
estadistica,42
express,42
javascript,42
nodejs,42
programacion,42
aprobar,43
complot,43
imagen,43
juego,43
meme,43
republica,43
maquinavirtual,44
perin,44
programacion,44
rust,44
cplusplus,45
linux,45
memoria,45
programacion,45
rust,45
addon-sdk,46
calidad,46
deming,46
dmaic,46
extensiones,46
firefox,46
javascript,46
programacion,46
webextensions,46
escribir,47
libro,47
libros,47
literatura,47
novela,47
relato-corto,47
cpp,48
cmake,48
linux,48
programacion,48
tutorial,48
aplicaciones,49
haiku,49
programacion,49
review,49
curiosidades,50
easter-egg,50
linux,50
programacion,50
nexcono,51
republica,51
webs-viral,51
libro,52
libros,52
linux,52
programacion,52
resena,52
review,52
rust,52
android,53
espacio,53
moviles,53
programacion,53
root,53
tips,53
bash,54
javascript,54
linux,54
nodejs,54
